plant_common_name,plant_family,plant_scientific_name
Carapa,Meliaceae,Carapa Aubl.
Pyjama Lily,Liliaceae,Crinum macowanii Baker
Bering Chickweed,Caryophyllaceae,Cerastium beeringianum Cham. & Schltdl. ssp. beeringianum var. beeringianum
Lanceleaf Springbeauty,Portulacaceae,Claytonia lanceolata Pall. ex Pursh var. chrysantha (Greene) C.L. Hitchc.
Alpine Saxifrage,Saxifragaceae,Saxifraga nivalis L.
Paperwhite Narcissus,Liliaceae,Narcissus papyraceus Ker Gawl.
San Francisco Onion,Liliaceae,Allium peninsulare Lemmon ex Greene var. franciscanum McNeal & Ownbey
Prickly Cyanea,Campanulaceae,Cyanea horrida (Rock) O. Deg. & Hosaka
Black Oats,Poaceae,Avena strigosa Schreb.
Cymodocea,Cymodoceaceae,Cymodocea serrulata (R. Br.) Asch. & Magnus
Wart Lichen,Verrucariaceae,Verrucaria acrotella Ach.
Plantain Lily,Liliaceae,Hosta Tratt.
Tweedy's Cat's Ear,Asteraceae,Hypochaeris brasiliensis (Less.) Benth. & Hook. ex Griseb. var. tweediei (Hook. & Arn.) Baker
Fivestamen Miterwort,Saxifragaceae,Mitella pentandra Hook.
Pohlia Moss,Bryaceae,Pohlia cruda (Hedw.) Lindb.
Gongolin,Aquifoliaceae,Ilex sideroxyloides (Sw.) Griseb.
Soot Lichen,Caliciaceae,Cyphelium karelicum (Vain.) Rasanen
Spreading Windmill Grass,Poaceae,Chloris divaricata R. Br.
Rough Eyelashweed,Asteraceae,Blepharipappus scaber Hook. ssp. laevis (A. Gray) D.D. Keck
Motillo,Elaeocarpaceae,Sloanea amygdalina Griseb.
Oblique Lempholemma Lichen,Lichinaceae,Lempholemma oblique-peltatum (Eschw.) C.W. Dodge
Pintwater Rabbitbrush,Asteraceae,Chrysothamnus eremobius L.C. Anderson
Pseudolmedia,Moraceae,Pseudolmedia Trécul
Upland Boneset,Asteraceae,Eupatorium sessilifolium L. var. sessilifolium
Cone-hair Wallrocket,Brassicaceae,Diplotaxis siifolia Kuntze
Koolau Rosette Grass,Poaceae,Dichanthelium koolauense (H. St. John & Hosaka) C.A. Clark & Gould
Hybrid Oak,Fagaceae,Quercus ×riparia Laughlin
Black Sand Spikerush,Cyperaceae,Eleocharis pachycarpa Desv.
Eucalyptus,Myrtaceae,Eucalyptus loxophleba Benth.
Hydrothyria Lichen,Peltigeraceae,Hydrothyria venosa J.L. Russell
Gloria De La Manana,Convolvulaceae,Ipomoea carnea Jacq. ssp. fistulosa (Mart. ex Choisy) D. Austin
Hilend's Bedstraw,Rubiaceae,Galium hilendiae Dempster & Ehrend.
Pea,Fabaceae,Pisum L.
Buckthorn,Rhamnaceae,Frangula Mill.
Vezdaea Lichen,Vezdaeaceae,Vezdaea Tsch.-Woess & Poelt
Back's Sedge,Cyperaceae,Carex backii Boott
Purple Queen,Commelinaceae,Tradescantia pallida (Rose) D.R. Hunt
Psorotichia Lichen,Lichinaceae,Psorotichia minuta H. Magn.
Phascum Moss,Pottiaceae,Phascum Hedw.
Pentaglottis,Boraginaceae,Pentaglottis Tausch
Frosty Wattle,Fabaceae,Acacia pruinosa A. Cunn. ex Benth.
Tasmanian Bluegum,Myrtaceae,Eucalyptus globulus Labill. ssp. maidenii (F. Muell.) J.B. Kirkpat.
False Junco,Cyperaceae,Eleocharis pachystyla (C. Wright) C.B. Clarke
Clustered Fescue,Poaceae,Festuca paradoxa Desv.
Waterpurslane,Lythraceae,Didiplis diandra (Nutt. ex DC.) Alph. Wood
Ponderosa Violet,Violaceae,Viola umbraticola Kunth
Rocky Mountain Thistle,Asteraceae,Cirsium perplexans (Rydb.) Petr.
Maidenhair Spleenwort,Aspleniaceae,Asplenium trichomanes L.
Blackcurly Lichen,Parmeliaceae,Pseudephebe M. Choisy
Dwarf Senna,Fabaceae,Senna pumilio (A. Gray) Irwin & Barneby
Fetid Adderstongue,Liliaceae,Scoliopus Torr.
Alpine Hawkweed,Asteraceae,Hieracium alpinum L.
Orange Wall Lichen,Teloschistaceae,Xanthoria polycarpa (Hoffm.) Rieber
Dotseed Plantain,Plantaginaceae,Plantago erecta Morris
Maguire's Lewisia,Portulacaceae,Lewisia maguirei A.H. Holmgren
Narrow Swordfern,Dryopteridaceae,Nephrolepis cordifolia (L.) C. Presl
Inflated Narrow-leaf Sedge,Cyperaceae,Carex grisea Wahlenb.
Tumblegrass,Poaceae,Schedonnardus paniculatus (Nutt.) Trel.
Small-lobe Navarretia,Polemoniaceae,Navarretia hamata Greene ssp. parviloba Day
Sorrel,Oxalidaceae,Oxalis nelsonii (Small) R. Knuth
Royal Helleborine,Orchidaceae,Epipactis atrorubens (O. Hoffm.) Besser
Taylor's Saxifrage,Saxifragaceae,Saxifraga taylori Calder & Savile
Waianae Mountain Digit Fern,Pteridaceae,Doryopteris subdecipiens W.H. Wagner
Whitewhorl Lupine,Fabaceae,Lupinus densiflorus Benth. var. glareosus (Elmer) C.P. Sm.
Hornwort,Ceratophyllaceae,Ceratophyllum L.
Grapplinghook,Boraginaceae,Harpagonella A. Gray
San Francisco Woodland-star,Saxifragaceae,Lithophragma affine A. Gray ssp. mixtum R.L. Taylor
Eastern Fox Sedge,Cyperaceae,Carex triangularis Boeckeler
Yellow Honeysuckle,Caprifoliaceae,Lonicera flava Sims
Schultes' Bedstraw,Rubiaceae,Galium schultesii Vest
Cortadora Blanca,Cyperaceae,Scleria pterota C. Presl ex C.B. Clarke var. melaleuca (Rchb. ex Schltdl. & Cham.) Standl.
Tansy Spectaclepod,Brassicaceae,Dimorphocarpa pinnatifida Rollins
Common Wolfstail,Poaceae,Lycurus phleoides Kunth
Spiritweed,Verbenaceae,Aegiphila Jacq.
Waioiani Clermontia,Campanulaceae,Clermontia persicifolia Gaudich.
Middleton False Foxglove,Scrophulariaceae,Agalinis neoscotica (Greene) Fernald
Mexican Muhly,Poaceae,Muhlenbergia mexicana (L.) Trin.
Arthrorhaphis Lichen,Arthrorhaphidaceae,Arthrorhaphis Th. Fr.
Lophostemon,Myrtaceae,Lophostemon Schott
Stinking Chamomile,Asteraceae,Anthemis cotula L.
Donner Lake Lupine,Fabaceae,Lupinus sellulus Kellogg ssp. sellulus var. sellulus
Polysporina Lichen,Acarosporaceae,Polysporina Vezda
Sticky Monkeyflower,Scrophulariaceae,Mimulus viscidus Congd.
Shameplant,Fabaceae,Mimosa pudica L. var. pudica
Willowleaf Meadowsweet,Rosaceae,Spiraea salicifolia L.
Bracted Bedstraw,Rubiaceae,Galium microphyllum A. Gray
Ferron's Milkvetch,Fabaceae,Astragalus musiniensis M.E. Jones
Cushion Townsend Daisy,Asteraceae,Townsendia condensata Parry ex A. Gray
Common Bamboo,Poaceae,Bambusa vulgaris Schrad. ex J.C. Wendl.
Tonto Basin Century Plant,Agavaceae,Agave delamateri W.C. Hodgson & L. Slauson
Schofield's Ctenidium Moss,Hypnaceae,Ctenidium schofieldii Nish.
Ball Lichen,Sphaerophoraceae,Sphaerophorus Pers.
Hairy Pinweed,Cistaceae,Lechea mucronata Raf.
Tree Destroyer,Loranthaceae,Dendrophthora Eichl.
Mojave Halimolobos,Brassicaceae,Halimolobos jaegeri (Munz) Rollins
Licania,Chrysobalanaceae,Licania platypus (Hemsl.) Fritsch
Lady's Tresses,Orchidaceae,Schiedeella Schltr.
Diamond Creepingfern,Dryopteridaceae,Bolbitis aliena (Sw.) Alston
Frosted Buckwheat,Polygonaceae,Eriogonum incanum Torr. & A. Gray
Southern Flatsedge,Cyperaceae,Cyperus thyrsiflorus Jungh.
King's Clover,Fabaceae,Trifolium kingii S. Watson ssp. macilentum (Greene) J.M. Gillett
Plummer's Candyleaf,Asteraceae,Stevia plummerae A. Gray
Zigzag Bladderwort,Lentibulariaceae,Utricularia subulata L.
Dayflower,Commelinaceae,Commelina L.
Fiveleaf Clover,Fabaceae,Trifolium andersonii A. Gray
Ground Nama,Hydrophyllaceae,Nama aretioides (Hook. & Arn.) Brand var. multiflorum (A. Heller) Jeps.
Wig Knapweed,Asteraceae,Centaurea phrygia L.
Baker's Wheatgrass,Poaceae,Elymus bakeri (E.E. Nelson) Á. Löve
Elemi Frankincense,Burseraceae,Boswellia frereana Birdw.
Zarzabacoa De Monte,Fabaceae,Desmodium axillare (Sw.) DC. var. axillare
San Bernardino Suncup,Onagraceae,Camissonia confusa P.H. Raven
Yellowhair Indian Paintbrush,Scrophulariaceae,Castilleja xanthotricha Pennell
Goatgrass,Poaceae,Aegilops umbellulata Zhuk.
Moldavian Dragonhead,Lamiaceae,Dracocephalum moldavica L.
Sand Phacelia,Hydrophyllaceae,Phacelia patuliflora (Engelm. & A. Gray) A. Gray var. patuliflora
Oklahoma Plum,Rosaceae,Prunus gracilis Engelm. & A. Gray
Dot Lichen,Arthoniaceae,Arthonia lapidicola (Taylor) Branth & Rostrup
Woollyhead Parsnip,Apiaceae,Sphenosciadium capitellatum A. Gray
Map Lichen,Rhizocarpaceae,Rhizocarpon jemtlandicum (Malme) Malme
Pleated Gentian,Gentianaceae,Gentiana affinis Griseb.
Lesser Showy Stickseed,Boraginaceae,Hackelia venusta (Piper) H. St. John
Purging Croton,Euphorbiaceae,Croton tiglium L.
Desert Evening Primrose,Onagraceae,Oenothera primiveris A. Gray ssp. primiveris
Bactrospora Lichen,Opegraphaceae,Bactrospora dryina (Ach.) A. Massal.
Montezuma Melicgrass,Poaceae,Melica montezumae Piper
Dwarf Spleenwort,Aspleniaceae,Asplenium pumilum Sw.
Beard Lichen,Parmeliaceae,Usnea diplotypus Vain.
Galbanum,Apiaceae,Ferula gummosa Boiss.
Columbia Lily,Liliaceae,Lilium columbianum Leichtlin
Hoarypea,Fabaceae,Tephrosia Pers.
Sphagnum,Sphagnaceae,Sphagnum lenense H. Lindb.
Currant Milkvetch,Fabaceae,Astragalus uncialis Barneby
Indiangrass,Poaceae,Sorghastrum Nash
Rugose Rim Lichen,Lecanoraceae,Lecanora rugosella Zahlbr.
Cheddar Pink,Caryophyllaceae,Dianthus gratianopolitanus Vill.
Tenpetal Thimbleweed,Ranunculaceae,Anemone berlandieri Pritz.
Lewis' Groundsel,Asteraceae,Packera eurycephala (Torr. & A. Gray) W.A. Weber & Á. Löve var. lewisrosei (J.T. Howell) J.F. Bain
Goose Tongue,Plantaginaceae,Plantago maritima L.
Tall Snapdragon,Scrophulariaceae,Sairocarpus virga (A. Gray) D.A. Sutton
Alpine Sheep Sorrel,Polygonaceae,Rumex paucifolius Nutt.
Hortulan Plum,Rosaceae,Prunus hortulana L.H. Bailey
Rock's Phyllostegia,Lamiaceae,Phyllostegia rockii Sherff
Kawa'u,Rutaceae,Zanthoxylum dipetalum H. Mann var. dipetalum
Savin,Cupressaceae,Juniperus sabina L.
Bristly Fiddleneck,Boraginaceae,Amsinckia tessellata A. Gray var. tessellata
Sulphur Lichen,Teloschistaceae,Fulgensia fulgens (Sw.) Elenkin
Bejuco Colorado,Convolvulaceae,Ipomoea repanda Jacq.
Wild Coffee,Rubiaceae,Psychotria L.
Silver Sagebrush,Asteraceae,Artemisia cana Pursh ssp. bolanderi (A. Gray) G.H. Ward
Trinity Mountain Rockcress,Brassicaceae,Arabis rigidissima Rollins
Scarlet Geranium,Geraniaceae,Pelargonium inquinans (L.) L'Hér. ex Aiton
Field Clover,Fabaceae,Trifolium campestre Schreb.
Bird Vetch,Fabaceae,Vicia cracca L.
Woodland Calamint,Lamiaceae,Calamintha sylvatica Bromf. ssp. ascendens (Jord.) P.W. Ball
Thieret's Skullcap,Lamiaceae,Scutellaria thieretii Shinners
Hairy Yellow Vetch,Fabaceae,Vicia lutea L. ssp. vestita (Boiss.) Rouy
Wenatchee Desertparsley,Apiaceae,Lomatium cuspidatum Mathias & Constance
Narrowleaf Cattail,Typhaceae,Typha angustifolia L.
Kellogg's Spurred Lupine,Fabaceae,Lupinus caudatus Kellogg ssp. montigenus (A. Heller) Hess & D. Dunn
Blue Waxweed,Lythraceae,Cuphea viscosissima Jacq.
Fringed Willowherb,Onagraceae,Epilobium ciliatum Raf. ssp. glandulosum (Lehm.) Hoch & P.H. Raven
Marsh Jaumea,Asteraceae,Jaumea carnosa (Less.) A. Gray
Punaluu Rosemallow,Malvaceae,Hibiscus arnottianus A. Gray ssp. punaluuensis (Skottsb.) D.M. Bates
Smallflower Groundcherry,Solanaceae,Physalis cinerascens (Dunal) Hitchc. var. cinerascens
Arkansas Leastdaisy,Asteraceae,Chaetopappa asteroides Nutt. ex DC. var. asteroides
Oriental Vessel Fern,Marattiaceae,Angiopteris evecta (J.R. Forst.) Hoffm.
Western Panicgrass,Poaceae,Dichanthelium acuminatum (Sw.) Gould & C.A. Clark var. fasciculatum (Torr.) Freckmann
Roundleaf Stoneseed,Boraginaceae,Lithospermum obtusifolium I.M. Johnst.
Kaala Stenogyne,Lamiaceae,Stenogyne kaalae Wawra ssp. kaalae
Billarder's Bryum Moss,Bryaceae,Bryum billarderi Schwägr.
Hillside Vervain,Verbenaceae,Verbena neomexicana (A. Gray) Small var. xylopoda L.M. Perry
Disc Lichen,Physciaceae,Buellia badia (Fr.) A. Massal.
Low Philonotis Moss,Bartramiaceae,Philonotis fontana (Hedw.) Brid. var. caespitosa (Jur.) Schimp.
Dumbcane,Araceae,Dieffenbachia seguine (Jacq.) Schott
Eurabbie,Myrtaceae,Eucalyptus globulus Labill. ssp. bicostata (Maiden et al.) J.B. Kirkp.
Sasak's Snow Lichen,Stereocaulaceae,Stereocaulon sasakii Zahlbr.
Canadian Rush,Juncaceae,Juncus canadensis J. Gay ex Laharpe
Palo Amargo,Apocynaceae,Rauvolfia nitida Jacq.
Rushpink Skeletonplant,Asteraceae,Lygodesmia entrada S.L. Welsh & Goodrich
Hypotrachyna Lichen,Parmeliaceae,Hypotrachyna pulvinata (Fée) Hale
Betel Pepper,Piperaceae,Piper betel L.
Pele Clermontia,Campanulaceae,Clermontia peleana Rock ssp. peleana
Heimburger's Anemone,Ranunculaceae,Anemone drummondii S. Watson ssp. heimburgeri Á. Löve & D. Löve
Parachute Beardtongue,Scrophulariaceae,Penstemon debilis O'Kane & J.L. Anderson
Fries' Pussytoes,Asteraceae,Antennaria friesiana (Trautv.) Ekman ssp. neoalaskana (A.E. Porsild) Bayer & Stebbins
Indian Bowstring Hemp,Agavaceae,Sansevieria roxburghiana Schult. & Schult. f.
Waterlily,Nymphaeaceae,Nymphaea ×thiona Ward
Manystamen Forchhammeria,Capparaceae,Forchhammeria polyandra (Griseb.) Alain
Australian Waterbuttons,Asteraceae,Cotula australis (Sieber ex Spreng.) Hook. f.
Levisticum,Apiaceae,Levisticum Hill
Piper's Buxbaumia Moss,Buxbaumiaceae,Buxbaumia piperi Best
Pennsylvania Catchfly,Caryophyllaceae,Silene caroliniana Walter ssp. pensylvanica (Michx.) R.T. Clausen
Torrey's Milkvetch,Fabaceae,Astragalus calycosus Torr. ex S. Watson var. monophyllidius (Rydb.) Barneby
Gopherweed,Fabaceae,Baptisia lanceolata (Walter) Elliott var. lanceolata
Swizzlestick Tree,Bombacaceae,Quararibea turbinata (Sw.) Poir.
Philonotis Moss,Bartramiaceae,Philonotis yezoana Besch. & Cardot
Aster,Asteraceae,Symphyotrichum ×woldenii (Rydb.) G.L. Nesom
Aerva,Amaranthaceae,Aerva Forssk.
Stalked Spikemoss,Selaginellaceae,Selaginella substipitata Spring
Maltesecross,Caryophyllaceae,Lychnis chalcedonica L.
Foxtail Cactus,Cactaceae,Escobaria Britton & Rose
Eastern Joy Lotustree,Magnoliaceae,Parakmeria lotungensis (G.L. Chun & C.H. Tsoong) Y.W. Law
Fisher's Tundragrass,Poaceae,Dupontia fisheri R. Br.
Marsh Blue Violet,Violaceae,Viola cucullata Aiton
Rough Stoneseed,Boraginaceae,Lithospermum matamorense DC.
Creeping Yellowcress,Brassicaceae,Rorippa sylvestris (L.) Besser
Texas Crownbeard,Asteraceae,Verbesina microptera DC.
Alpine Nerve Sedge,Cyperaceae,Carex neurophora Mack.
Hairy Cup Orchid,Orchidaceae,Brachionidium ciliolatum Garay
Drepanocladus Moss,Amblystegiaceae,Drepanocladus aduncus (Hedw.) Warnst. var. polycarpus (Bland. ex Voit) G. Roth
Shasta Snakeroot,Asteraceae,Ageratina shastensis (D.W. Taylor & Stebbins) R.M. King & H. Rob.
Georgia Oak,Fagaceae,Quercus georgiana M.A. Curtis
Acacia,Fabaceae,Acacia sophorae (Labill.) R. Br.
Needle's Buckwheat,Polygonaceae,Eriogonum breedlovei (J.T. Howell) Reveal var. shevockii J.T. Howell
Shoregrass,Poaceae,Monanthochloe Engelm.
New Jersey Rush,Juncaceae,Juncus caesariensis Coville
Snailseed Pondweed,Potamogetonaceae,Potamogeton bicupulatus Fernald
Desert Tobacco,Solanaceae,Nicotiana obtusifolia M. Martens & Galeotti var. obtusifolia
Boyd's Maiden Fern,Thelypteridaceae,Thelypteris boydiae (D.C. Eaton) K. Iwats.
Claspleaf Twistedstalk,Liliaceae,Streptopus amplexifolius (L.) DC.
Caribbean Spiritweed,Verbenaceae,Aegiphila martinicensis Jacq.
Stickystem Penstemon,Scrophulariaceae,Penstemon glandulosus Douglas
Las Vegas Cryptantha,Boraginaceae,Cryptantha insolita (J.F. Macbr.) Payson
Green Phlox,Polemoniaceae,Phlox viridis E.E. Nelson
Puerto Rico Ridgerunner,Myrsinaceae,Cybianthus sintenisii (Urb.) G. Agostini
Bluebonnet Lupine,Fabaceae,Lupinus palmeri S. Watson
Sanchezia,Acanthaceae,Sanchezia Ruiz & Pav.
Seaside Petunia,Solanaceae,Calibrachoa parviflora (Juss.) D'Arcy
Bonebract,Asteraceae,Sclerocarpus Jacq.
Clubmoss,Lycopodiaceae,Huperzia ×erubescens (Brack.) Holub (pro sp.)
Carolina Fanwort,Cabombaceae,Cabomba caroliniana A. Gray
Easter Cactus,Cactaceae,Hatiora gaertneri (Regel) Barthlott
Peirson's Browneyes,Onagraceae,Camissonia claviformis (Torr. & Frém.) P.H. Raven ssp. peirsonii (Munz) P.H. Raven
Tailed Kittentails,Scrophulariaceae,Synthyris missurica (Raf.) Pennell ssp. missurica
Blazing Star,Asteraceae,Liatris ×frostii Gaiser
Bull's Eye,Asteraceae,Euryops chrysanthemoides (DC.) B. Nord.
Lateral Sedge,Cyperaceae,Carex unilateralis Mack.
Eggyolk Lichen,Candelariaceae,Candelariella citrina de Lesd.
King's Mousetail,Rosaceae,Ivesia kingii S. Watson
Stellar Hau Kuahiwi,Malvaceae,"Hibiscadelphus stellatus H. Oppenh., Bustamente & Perlman"
American Tuckermannopsis Lichen,Parmeliaceae,Tuckermannopsis americana (Spreng.) Hale
Heather,Ericaceae,Calluna Salisb.
Shoestring Fern,Vittariaceae,Vittaria lineata (L.) Sm.
Miner's Lettuce,Portulacaceae,Claytonia perfoliata Donn ex Willd.
Yellow Marsh Saxifrage,Saxifragaceae,Saxifraga hirculus L.
Onecolor Willow,Salicaceae,Salix monochroma C.R. Ball
Hybrid Dock,Polygonaceae,Rumex ×acutus L. (pro sp.)
Bastardsage,Polygonaceae,Eriogonum wrightii Torr. ex Benth.
Smooth Flatsedge,Cyperaceae,Cyperus laevigatus L.
Western Tansymustard,Brassicaceae,Descurainia pinnata (Walter) Britton ssp. halictorum (Cockerell) Detling
Rocky Mountain Buttercup,Ranunculaceae,Ranunculus macauleyi A. Gray
Mt. Hamilton Desertparsley,Apiaceae,Lomatium observatorium Constance & Ertter
Ironwort,Lamiaceae,Sideritis L.
Gyalectidium Lichen,Gomphillaceae,Gyalectidium Müll. Arg.
Lecidea Lichen,Lecideaceae,Lecidea plana (J. Lahm) Nyl.
Sharpleaf Silverbush,Euphorbiaceae,Argythamnia candicans Sw.
Glebionis,Asteraceae,Glebionis Cass.
Livermore Tarweed,Asteraceae,Deinandra bacigalupii B.G. Baldw.
Pincushions,Dipsacaceae,Scabiosa L.
Gorman's Aster,Asteraceae,Eucephalus gormanii Piper
Orange Lichen,Teloschistaceae,Caloplaca celata Th. Fr.
Leavenworth's Sedge,Cyperaceae,Carex leavenworthii Dewey
Caribbean Pine,Pinaceae,Pinus caribaea Morelet
Apricot Tulip,Iridaceae,Moraea ochroleuca (Salisb.) Drapiez
Cavedwelling Primrose,Primulaceae,Primula specuicola Rydb.
Narrowleaf Gumweed,Asteraceae,Grindelia lanceolata Nutt. var. lanceolata
Arizona Wrightwort,Acanthaceae,Carlowrightia arizonica A. Gray
Corrida Yerba De Guava,Rubiaceae,Geophila repens (L.) I.M. Johnst.
Silverskin Lichen,Verrucariaceae,Dermatocarpon miniatum (L.) W. Mann
Lace Hedgehog Cactus,Cactaceae,Echinocereus reichenbachii (Terscheck ex Walp.) hort ex Haage ssp. perbellus (Britton & Rose) N.P. Taylor
Tall Threeawn,Poaceae,Aristida patula Chapm. ex Nash
Jacobi's Schiedea,Caryophyllaceae,"Schiedea jacobii W.L. Wagner, S.G. Weller & A.C. Medeiros"
Green Mountain Maidenhair,Pteridaceae,Adiantum viridimontanum Paris
Showy Maiden Fern,Thelypteridaceae,Thelypteris puberula (Baker) Morton
Jamaican Filmy Fern,Hymenophyllaceae,Hymenophyllum paucicarpum Jenman
Three-awn Grass,Poaceae,Stipagrostis pungens (Desf.) De Winter
Ravenia,Rutaceae,Ravenia Vell.
Goldenrod,Asteraceae,Solidago ×ulmicaesia Friesner
Longcapsule Suncup,Onagraceae,Camissonia chamaenerioides (A. Gray) P.H. Raven
Wildparsley,Apiaceae,Musineon Raf.
Mckittrick's Solomon's Seal,Liliaceae,Polygonatum cobrense (Wooton & Standl.) R.R. Gates
Yellow Necklacepod,Fabaceae,Sophora tomentosa L.
Whiteveined Wintergreen,Pyrolaceae,Pyrola picta Sm.
Chinese Hawthorn,Rosaceae,Crataegus cuneata Siebold & Zucc.
Primroseleaf Horseweed,Asteraceae,Conyza primulifolia (Lam.) Cuatrec. & Lourteig
Mountain Clearweed,Urticaceae,Pilea yunquensis (Urb.) Britton & P. Wilson
Coastal Red Indian Paintbrush,Scrophulariaceae,Castilleja hyetophila Pennell
Longleaf Indian Paintbrush,Scrophulariaceae,Castilleja subinclusa Greene ssp. franciscana (Pennell) T.I. Chuang & Heckard
Fishscale Lichen,Psoraceae,Psora rubiformis (Ach.) Hook.
Sierra De Cayey Stopper,Myrtaceae,Eugenia boqueronensis Britton
Idaho Gumweed,Asteraceae,Grindelia nana Nutt. var. nana
Black Dropseed,Poaceae,Sporobolus interruptus Vasey
Lesser Hareleaf,Asteraceae,Lagophylla minor (D.D. Keck) D.D. Keck
Kidney Lichen,Nephromataceae,Nephroma isidiosum (Nyl.) Gyel.
Southwestern Ringstem,Nyctaginaceae,Anulocaulis leiosolenus (Torr.) Standl. var. lasianthus I.M. Johnst.
Wisconsin Weeping Willow,Salicaceae,Salix ×pendulina Wender.
Winter Hazel,Hamamelidaceae,Corylopsis sinensis Hemsl.
Dogfennel,Asteraceae,Eupatorium capillifolium (Lam.) Small
Common Hawkweed,Asteraceae,Hieracium lachenalii C.C. Gmel.
Chihuahuan Brickellbush,Asteraceae,Brickellia floribunda A. Gray
Nightflowering Silene,Caryophyllaceae,Silene noctiflora L.
Prairie Burnet,Rosaceae,Sanguisorba annua (Nutt. ex Hook.) Nutt. ex Torr. & A. Gray
White Mountain Lupine,Fabaceae,Lupinus sierrae-blancae Wooton & Standl. ssp. sierrae-blancae
Tickbush,Myrtaceae,Kunzea ambigua (Sm.) Druce
Boxelder,Aceraceae,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger
Pumpelly's Brome,Poaceae,Bromus inermis Leyss. ssp. pumpellianus (Scribn.) Wagnon
Idaho Blue-eyed Grass,Iridaceae,Sisyrinchium idahoense E.P. Bicknell var. idahoense
Munz's Sage,Lamiaceae,Salvia munzii Epling
Mexican-hat-plant,Sterculiaceae,Chiranthodendron pentadactylon Larreat.
Dwarf Mountain Lupine,Fabaceae,Lupinus lyallii A. Gray
Western Meadow-rue,Ranunculaceae,Thalictrum occidentale A. Gray
Graham's Nipple Cactus,Cactaceae,Mammillaria grahamii Engelm.
Morro Manzanita,Ericaceae,Arctostaphylos morroensis Wies. & Schreib.
Louise's Swallow-wort,Asclepiadaceae,Cynanchum louiseae Kartesz & Gandhi
Disc Lichen,Hymeneliaceae,Tremolecia atrata (Ach.) Hertel
Wight's Myriotrema Lichen,Thelotremataceae,Myriotrema wightii (Taylor) Hale
Ravenel's Pleuridium Moss,Ditrichaceae,Pleuridium ravenelii Austin
Walter's Aster,Asteraceae,Symphyotrichum walteri (Alexander) G.L. Nesom
Bearded Cryptantha,Boraginaceae,Cryptantha barbigera (A. Gray) Greene
Rigid Aloina Moss,Pottiaceae,Aloina rigida (Hedw.) Limpr.
Cinnamon,Lauraceae,Cinnamomum sessilifolium Kaneh.
Philonotis Moss,Bartramiaceae,Philonotis fontana (Hedw.) Brid. var. pumila (Turner) Brid.
Illinois Woodsorrel,Oxalidaceae,Oxalis illinoensis Schwegm.
Heartleaf Saxifrage,Saxifragaceae,Saxifraga nelsoniana D. Don
Paleyellow Tidytips,Asteraceae,Layia heterotricha (DC.) Hook. & Arn.
Fuscidea Lichen,Fuscideaceae,Fuscidea praeruptorum (Du Rietz & H. Magn.) V. Wirth & Vezda
Red Kauai Rosemallow,Malvaceae,Hibiscus clayi O. Deg. & I. Deg.
Intense Light And Dark Lichen,Parmeliaceae,Pseudevernia intensa (Nyl.) Hale & W.L. Culb.
Spiny Milkwort,Polygalaceae,Polygala subspinosa S. Watson
Arizona Wheatgrass,Poaceae,Elymus arizonicus (Scribn. & J.G. Sm.) Gould
Water Paspalum,Poaceae,Paspalum modestum Mez
Mountain Figwort,Scrophulariaceae,Scrophularia montana Wooton
Pygmymelon,Cucurbitaceae,Psiguria Neck. ex Arn.
Bonavist-bean,Fabaceae,Lablab purpureus (L.) Sweet ssp. purpureus
